subject,model,perturbation_type,level,accuracy,f1
3,eegnet,band_limited_noise,5.0,47.29166666666667,0.40164901680997456
4,eegnet,band_limited_noise,5.0,26.458333333333332,0.15730238532918236
5,eegnet,band_limited_noise,5.0,27.15277777777778,0.22917592821388255
6,eegnet,band_limited_noise,5.0,34.375,0.28414308398786153
7,eegnet,band_limited_noise,5.0,25.069444444444446,0.10148128362651201
8,eegnet,band_limited_noise,5.0,44.79166666666667,0.32744998986980123
9,eegnet,band_limited_noise,5.0,44.44444444444444,0.3773235060264139
1,gru,band_limited_noise,5.0,49.30555555555556,0.46851624485690957
2,gru,band_limited_noise,5.0,24.305555555555554,0.20441599797633359
3,gru,band_limited_noise,5.0,46.11111111111111,0.44731815430890265
4,gru,band_limited_noise,5.0,34.86111111111111,0.3300512020176278
5,gru,band_limited_noise,5.0,27.638888888888893,0.2635227841297889
6,gru,band_limited_noise,5.0,38.125,0.3706554183073158
7,gru,band_limited_noise,5.0,27.569444444444446,0.15162237387637584
8,gru,band_limited_noise,5.0,50.69444444444444,0.4756122885423828
9,gru,band_limited_noise,5.0,52.98611111111111,0.4822732920072811
1,lstm,band_limited_noise,5.0,46.59722222222222,0.4471749807738922
2,lstm,band_limited_noise,5.0,26.25,0.23300552261628385
3,lstm,band_limited_noise,5.0,52.63888888888889,0.5200528702434498
4,lstm,band_limited_noise,5.0,38.40277777777778,0.29333731307834626
5,lstm,band_limited_noise,5.0,24.02777777777778,0.2348027706057081
6,lstm,band_limited_noise,5.0,25.833333333333332,0.1466857092675462
7,lstm,band_limited_noise,5.0,36.38888888888889,0.30879326233853044
8,lstm,band_limited_noise,5.0,51.31944444444444,0.5126094880518848
9,lstm,band_limited_noise,5.0,44.02777777777778,0.41330567881737557
1,riemann_tslr,band_limited_noise,5.0,25.0,0.1
2,riemann_tslr,band_limited_noise,5.0,25.0,0.1001674421499821
3,riemann_tslr,band_limited_noise,5.0,31.52777777777778,0.20534693269196863
4,riemann_tslr,band_limited_noise,5.0,25.0,0.1
5,riemann_tslr,band_limited_noise,5.0,25.13888888888889,0.12023506594270336
6,riemann_tslr,band_limited_noise,5.0,25.0,0.1
7,riemann_tslr,band_limited_noise,5.0,25.069444444444446,0.10148128362651201
8,riemann_tslr,band_limited_noise,5.0,25.0,0.1
9,riemann_tslr,band_limited_noise,5.0,25.0,0.1
1,shallow_convnet,band_limited_noise,5.0,54.44444444444444,0.5505621415093322
2,shallow_convnet,band_limited_noise,5.0,25.0,0.1
3,shallow_convnet,band_limited_noise,5.0,57.777777777777786,0.4991929181560749
4,shallow_convnet,band_limited_noise,5.0,36.80555555555556,0.3323206856075979
5,shallow_convnet,band_limited_noise,5.0,27.083333333333332,0.25292453425309913
6,shallow_convnet,band_limited_noise,5.0,45.69444444444444,0.44588979711835197
7,shallow_convnet,band_limited_noise,5.0,25.0,0.1
8,shallow_convnet,band_limited_noise,5.0,66.52777777777779,0.6611908799286813
9,shallow_convnet,band_limited_noise,5.0,63.61111111111111,0.6271446279238118
1,cfc,band_limited_noise,10.0,48.54166666666667,0.46890657710462047
2,cfc,band_limited_noise,10.0,27.84722222222222,0.2060948290963068
3,cfc,band_limited_noise,10.0,60.06944444444444,0.5703770464360977
4,cfc,band_limited_noise,10.0,39.44444444444444,0.3308973011292301
5,cfc,band_limited_noise,10.0,25.97222222222222,0.23858100823625117
6,cfc,band_limited_noise,10.0,29.65277777777778,0.2594598471089327
7,cfc,band_limited_noise,10.0,34.30555555555556,0.23503810996840385
8,cfc,band_limited_noise,10.0,60.06944444444444,0.5974193719625053
9,cfc,band_limited_noise,10.0,57.56944444444444,0.5393294467760419
1,eegnet,band_limited_noise,10.0,54.30555555555556,0.5065706877504926
2,eegnet,band_limited_noise,10.0,25.069444444444446,0.10157450380774014
3,eegnet,band_limited_noise,10.0,65.83333333333334,0.6098051128534582
4,eegnet,band_limited_noise,10.0,33.40277777777778,0.30765258754435826
5,eegnet,band_limited_noise,10.0,26.52777777777778,0.23237325965037153
