subject,model,condition,shuffle_seed,accuracy,f1
5,eegnet,clean,-1,25.34722222222222,0.24452718746855756
5,eegnet,temporal_shuffle,0,29.166666666666668,0.2824927689114791
5,eegnet,temporal_shuffle,1,26.041666666666668,0.24899016480595426
5,eegnet,temporal_shuffle,2,24.65277777777778,0.24011910959869687
5,eegnet,temporal_shuffle,3,25.694444444444443,0.24568328083904276
5,eegnet,temporal_shuffle,4,22.916666666666664,0.22411053673873052
5,cfc,clean,-1,29.166666666666668,0.21533504824305066
5,cfc,temporal_shuffle,0,25.34722222222222,0.10712786660052658
5,cfc,temporal_shuffle,1,25.0,0.1
5,cfc,temporal_shuffle,2,25.0,0.1005586592178771
5,cfc,temporal_shuffle,3,25.0,0.10084033613445378
5,cfc,temporal_shuffle,4,25.0,0.10591876792994112
5,lstm,clean,-1,30.208333333333332,0.26612477538185086
5,lstm,temporal_shuffle,0,25.694444444444443,0.19357159859702253
5,lstm,temporal_shuffle,1,29.86111111111111,0.21108098713938128
5,lstm,temporal_shuffle,2,25.694444444444443,0.17646055296293034
5,lstm,temporal_shuffle,3,24.65277777777778,0.1714277263057751
5,lstm,temporal_shuffle,4,24.65277777777778,0.15728356911786007
6,shallow_convnet,clean,-1,49.30555555555556,0.4943290583938542
6,shallow_convnet,temporal_shuffle,0,27.77777777777778,0.18609642173493446
6,shallow_convnet,temporal_shuffle,1,27.77777777777778,0.1871249767591231
6,shallow_convnet,temporal_shuffle,2,27.083333333333332,0.16526286037309215
6,shallow_convnet,temporal_shuffle,3,29.166666666666668,0.19539578217535752
6,shallow_convnet,temporal_shuffle,4,27.77777777777778,0.188906202493159
6,riemann_tslr,clean,-1,49.65277777777778,0.48169813129692074
6,riemann_tslr,temporal_shuffle,0,49.65277777777778,0.48169813129692074
6,riemann_tslr,temporal_shuffle,1,49.65277777777778,0.48169813129692074
6,riemann_tslr,temporal_shuffle,2,49.65277777777778,0.48169813129692074
6,riemann_tslr,temporal_shuffle,3,49.65277777777778,0.48169813129692074
6,riemann_tslr,temporal_shuffle,4,49.65277777777778,0.48169813129692074
6,eegnet,clean,-1,39.58333333333333,0.386516975895941
6,eegnet,temporal_shuffle,0,34.72222222222222,0.33006974533792105
6,eegnet,temporal_shuffle,1,29.51388888888889,0.2748368908207567
6,eegnet,temporal_shuffle,2,31.25,0.28422921423795044
6,eegnet,temporal_shuffle,3,30.90277777777778,0.2862570121969177
6,eegnet,temporal_shuffle,4,30.555555555555557,0.28105460460022613
6,cfc,clean,-1,33.68055555555556,0.2914467402421172
