subject,model,perturbation_type,level,seed,accuracy,f1
2,cfc,band_limited_noise,10.0,3,27.77777777777778,0.19988361450225858
2,cfc,band_limited_noise,5.0,3,25.694444444444443,0.11468192824125029
2,cfc,band_limited_noise,0.0,3,25.0,0.1
2,cfc,channel_dropout,0.1,3,27.77777777777778,0.25299203510511337
2,cfc,channel_dropout,0.3,3,25.0,0.24209886542975662
2,cfc,channel_dropout,0.5,3,25.694444444444443,0.2321394050122549
2,cfc,band_limited_noise,20.0,4,29.86111111111111,0.2663586325549109
2,cfc,band_limited_noise,10.0,4,25.694444444444443,0.1883294484644057
2,cfc,band_limited_noise,5.0,4,25.34722222222222,0.11361819000088402
2,cfc,band_limited_noise,0.0,4,25.0,0.1
2,cfc,channel_dropout,0.1,4,26.73611111111111,0.25133527100918407
2,cfc,channel_dropout,0.3,4,27.083333333333332,0.2539321978241975
2,cfc,channel_dropout,0.5,4,23.26388888888889,0.20466937096541438
2,gru,band_limited_noise,20.0,0,22.22222222222222,0.19563318404524846
2,gru,band_limited_noise,10.0,0,21.180555555555554,0.1953966400101519
2,gru,band_limited_noise,5.0,0,22.569444444444446,0.1818675889328063
2,gru,band_limited_noise,0.0,0,25.34722222222222,0.1811568684190011
2,gru,channel_dropout,0.1,0,27.083333333333332,0.25927723486044474
2,gru,channel_dropout,0.3,0,22.22222222222222,0.2107237492045696
2,gru,channel_dropout,0.5,0,26.73611111111111,0.23894619254219698
2,gru,band_limited_noise,20.0,1,21.180555555555554,0.18887957228606922
2,gru,band_limited_noise,10.0,1,22.916666666666664,0.20845321996637786
2,gru,band_limited_noise,5.0,1,25.34722222222222,0.21776333460942257
2,gru,band_limited_noise,0.0,1,22.569444444444446,0.14797937585451781
2,gru,channel_dropout,0.1,1,23.26388888888889,0.2294536842417435
2,gru,channel_dropout,0.3,1,25.34722222222222,0.24819087901735348
2,gru,channel_dropout,0.5,1,24.65277777777778,0.22610004333530015
2,gru,band_limited_noise,20.0,2,23.61111111111111,0.21414564067230552
2,gru,band_limited_noise,10.0,2,22.569444444444446,0.20901069819244483
2,gru,band_limited_noise,5.0,2,24.305555555555554,0.20748939165993563
2,gru,band_limited_noise,0.0,2,23.958333333333336,0.15411759595317778
2,gru,channel_dropout,0.1,2,23.61111111111111,0.2210697635697636
2,gru,channel_dropout,0.3,2,25.694444444444443,0.24676665900878988
2,gru,channel_dropout,0.5,2,27.77777777777778,0.24690139903955693
